phase,time,confidence
P,2022-12-20T09:51:12.428400Z,0.179
P,2022-12-20T09:54:29.998400Z,0.976
P,2022-12-20T09:54:32.188400Z,0.223
P,2022-12-20T09:54:35.898400Z,0.607
P,2022-12-20T09:55:09.788400Z,0.113
P,2022-12-20T09:57:42.738400Z,0.312
P,2022-12-20T09:58:25.418400Z,0.177
P,2022-12-20T10:09:42.108400Z,0.112
P,2022-12-20T10:16:38.078400Z,0.135
P,2022-12-20T10:29:27.388400Z,0.982
P,2022-12-20T10:34:32.398400Z,0.785
P,2022-12-20T10:34:35.098400Z,0.110
P,2022-12-20T10:36:02.378400Z,0.856
P,2022-12-20T10:36:06.908400Z,0.896
P,2022-12-20T10:36:12.728400Z,0.127
P,2022-12-20T10:36:25.358400Z,0.227
P,2022-12-20T10:36:48.138400Z,0.215
P,2022-12-20T10:36:52.948400Z,0.359
P,2022-12-20T10:37:28.098400Z,0.912
P,2022-12-20T10:37:29.848400Z,0.511
P,2022-12-20T10:37:59.628400Z,0.642
P,2022-12-20T10:38:09.538400Z,0.868
P,2022-12-20T10:38:11.538400Z,0.948
P,2022-12-20T10:38:36.848400Z,0.837
P,2022-12-20T10:38:42.058400Z,0.244
P,2022-12-20T10:39:09.038400Z,0.942
P,2022-12-20T10:39:53.538400Z,0.968
P,2022-12-20T10:39:59.168400Z,0.207
P,2022-12-20T10:40:11.798400Z,0.978
P,2022-12-20T10:40:24.688400Z,0.522
P,2022-12-20T10:40:27.698400Z,0.194
P,2022-12-20T10:40:37.348400Z,0.928
P,2022-12-20T10:40:51.638400Z,0.878
P,2022-12-20T10:40:56.748400Z,0.169
P,2022-12-20T10:41:12.828400Z,0.103
P,2022-12-20T10:41:16.958400Z,0.479
P,2022-12-20T10:41:32.428400Z,0.234
P,2022-12-20T10:41:41.978400Z,0.970
P,2022-12-20T10:41:47.998400Z,0.989
P,2022-12-20T10:41:50.028400Z,0.133
P,2022-12-20T10:42:06.818400Z,0.712
P,2022-12-20T10:42:23.888400Z,0.399
P,2022-12-20T10:42:27.578400Z,0.284
P,2022-12-20T10:42:33.008400Z,0.944
P,2022-12-20T10:42:50.208400Z,0.103
P,2022-12-20T10:43:06.158400Z,0.947
P,2022-12-20T10:43:17.268400Z,0.130
P,2022-12-20T10:43:36.528400Z,0.573
P,2022-12-20T10:43:47.158400Z,0.967
P,2022-12-20T10:44:13.458400Z,0.875
P,2022-12-20T10:44:18.958400Z,0.718
P,2022-12-20T10:44:23.768400Z,0.566
P,2022-12-20T10:44:34.858400Z,0.871
P,2022-12-20T10:44:36.088400Z,0.781
P,2022-12-20T10:44:54.508400Z,0.982
P,2022-12-20T10:45:00.378400Z,0.279
P,2022-12-20T10:45:29.718400Z,0.695
P,2022-12-20T10:45:34.988400Z,0.527
P,2022-12-20T10:46:11.418400Z,0.972
P,2022-12-20T10:46:17.548400Z,0.140
P,2022-12-20T10:46:22.988400Z,0.910
P,2022-12-20T10:46:27.968400Z,0.294
P,2022-12-20T10:46:48.368400Z,0.128
P,2022-12-20T10:46:57.178400Z,0.830
P,2022-12-20T10:47:00.888400Z,0.938
P,2022-12-20T10:47:19.398400Z,0.158
P,2022-12-20T10:47:21.658400Z,0.551
P,2022-12-20T10:47:38.918400Z,0.504
P,2022-12-20T10:47:42.168400Z,0.943
P,2022-12-20T10:48:16.868400Z,0.501
P,2022-12-20T10:48:31.478400Z,0.106
P,2022-12-20T10:48:35.558400Z,0.945
P,2022-12-20T10:48:46.778400Z,0.980
P,2022-12-20T10:48:53.048400Z,0.105
P,2022-12-20T10:49:03.238400Z,0.985
P,2022-12-20T10:49:17.968400Z,0.922
P,2022-12-20T10:49:47.518400Z,0.334
P,2022-12-20T10:49:49.998400Z,0.974
P,2022-12-20T10:50:10.448400Z,0.773
P,2022-12-20T10:50:26.688400Z,0.972
P,2022-12-20T10:50:59.418400Z,0.424
P,2022-12-20T10:51:03.188400Z,0.231
P,2022-12-20T10:51:04.668400Z,0.227
P,2022-12-20T10:51:06.518400Z,0.115
P,2022-12-20T10:51:13.958400Z,0.416
P,2022-12-20T10:51:19.828400Z,0.234
P,2022-12-20T10:51:28.798400Z,0.980
P,2022-12-20T10:51:33.918400Z,0.817
P,2022-12-20T10:51:41.098400Z,0.397
P,2022-12-20T10:51:46.358400Z,0.165
P,2022-12-20T10:52:11.558400Z,0.982
P,2022-12-20T10:52:12.778400Z,0.504
P,2022-12-20T10:52:17.308400Z,0.565
P,2022-12-20T10:52:35.778400Z,0.124
P,2022-12-20T10:52:47.418400Z,0.992
P,2022-12-20T10:52:53.638400Z,0.199
P,2022-12-20T10:53:18.328400Z,0.285
P,2022-12-20T10:53:23.768400Z,0.966
P,2022-12-20T10:53:43.078400Z,0.186
P,2022-12-20T10:53:47.768400Z,0.868
P,2022-12-20T10:53:48.878400Z,0.264
P,2022-12-20T10:53:53.128400Z,0.682
P,2022-12-20T10:54:03.858400Z,0.354
P,2022-12-20T10:54:19.808400Z,0.629
P,2022-12-20T10:54:21.738400Z,0.712
P,2022-12-20T10:54:26.488400Z,0.170
P,2022-12-20T10:54:36.618400Z,0.849
P,2022-12-20T10:54:42.058400Z,0.178
P,2022-12-20T10:54:47.908400Z,0.717
P,2022-12-20T10:54:57.658400Z,0.984
P,2022-12-20T10:55:13.108400Z,0.112
P,2022-12-20T10:55:33.128400Z,0.906
P,2022-12-20T10:55:38.948400Z,0.125
P,2022-12-20T10:56:08.448400Z,0.186
P,2022-12-20T10:56:25.378400Z,0.173
P,2022-12-20T10:56:59.158400Z,0.927
P,2022-12-20T10:57:02.958400Z,0.275
P,2022-12-20T10:57:28.268400Z,0.968
