start,target,sample_min,max_range,num_gaps,sample_unique,percent_availability
1983-03-11,UW.MBW..EHZ.M,-387.0,,8.0,134.0,0.462
1983-03-13,UW.MBW..EHZ.M,-397.0,397.0,2.0,151.0,0.219
1983-02-25,UW.MBW..EHZ.M,-492.0,,5.0,330.0,0.504
1983-02-04,UW.MBW..EHZ.M,-535.0,,3.0,250.0,0.192
1983-03-03,UW.MBW..EHZ.M,-660.0,,4.0,304.0,0.371
1983-03-16,UW.MBW..EHZ.M,-431.0,,3.0,131.0,0.136
1983-01-21,UW.MBW..EHZ.M,-408.0,154.0,2.0,129.0,0.116
1983-02-06,UW.MBW..EHZ.M,-381.0,381.0,2.0,80.0,0.124
1983-01-25,UW.MBW..EHZ.M,-440.0,194.0,2.0,166.0,0.11
1983-01-14,UW.MBW..EHZ.M,-473.0,384.0,3.0,186.0,0.18
1983-02-10,UW.MBW..EHZ.M,-553.0,,4.0,259.0,0.201
1983-01-18,UW.MBW..EHZ.M,-610.0,,4.0,335.0,0.219
1983-01-13,UW.MBW..EHZ.M,-467.0,,5.0,189.0,0.32
1983-02-08,UW.MBW..EHZ.M,-467.0,,3.0,200.0,0.148
1983-03-19,UW.MBW..EHZ.M,-365.0,365.0,2.0,68.0,0.065
1983-02-01,UW.MBW..EHZ.M,-511.0,,8.0,375.0,0.738
1983-01-05,UW.MBW..EHZ.M,-538.0,,3.0,221.0,0.219
1983-01-19,UW.MBW..EHZ.M,-342.0,,3.0,42.0,0.107
1983-01-27,UW.MBW..EHZ.M,-468.0,,3.0,213.0,0.175
1983-01-12,UW.MBW..EHZ.M,-392.0,,5.0,115.0,0.32
1983-01-26,UW.MBW..EHZ.M,-505.0,,4.0,259.0,0.308
1983-04-04,UW.MBW..EHZ.M,-765.0,,4.0,298.0,0.195
1983-04-18,UW.MBW..EHZ.M,-330.0,330.0,2.0,56.0,0.077
1983-04-15,UW.MBW..EHZ.M,-455.0,,5.0,220.0,0.373
1983-02-03,UW.MBW..EHZ.M,-473.0,,3.0,173.0,0.192
